area_slug,area_name,state,trail_name,activity,trail_type,status,source_label,map_url,pass_url,contact_target
royal-blue-tn,Royal Blue / Brimstone,Tennessee,New River Unit,OHV,North Cumberland unit,Public map,Public agency map,https://www.tn.gov/twra/wildlife-management-areas/east-tennessee-r4/north-cumberland-wma.html,https://www.tn.gov/twra/wildlife-management-areas/east-tennessee-r4/north-cumberland-wma.html,Public land manager / agency GIS contact
royal-blue-tn,Royal Blue / Brimstone,Tennessee,Brimstone Recreation,OHV,Trail system,Official link,Private park map,https://www.brimstonerecreation.com/,https://www.brimstonerecreation.com/plan-your-adventure/riding-permits/,Private park or trail system operator
royal-blue-tn,Royal Blue / Brimstone,Tennessee,Tackett Creek area,OHV,Nearby trail areas,Contact needed,Source needs verification,https://www.google.com/maps/search/?api=1&query=Tackett+Creek+Royal+Blue+ATV+trails,https://www.tn.gov/twra/wildlife-management-areas/east-tennessee-r4/north-cumberland-wma.html,Local tourism office or land manager
black-mountain-ky,Black Mountain,Kentucky,Black Mountain Off-Road Adventure Area,OHV,Trail system,Official link,Map source,https://www.harlancountytrails.com/attractions/off-roading/,https://www.harlancountytrails.com/attractions/off-roading/,Local tourism office or land manager
black-mountain-ky,Black Mountain,Kentucky,Evarts trailhead,OHV,Trail access,Official link,Map source,https://www.blackmountainoffroad.com/trailheads,https://www.harlancountytrails.com/attractions/off-roading/,Local tourism office or land manager
black-mountain-ky,Black Mountain,Kentucky,Putney trailhead,OHV,Trail access,Official link,Map source,https://www.blackmountainoffroad.com/trailheads,https://www.harlancountytrails.com/attractions/off-roading/,Local tourism office or land manager
black-mountain-ky,Black Mountain,Kentucky,Little Shepherd Trail,OHV,Scenic mountain route,Contact needed,Source needs verification,https://www.google.com/maps/search/?api=1&query=Little+Shepherd+Trail+Harlan+KY,https://www.harlancountytrails.com/attractions/off-roading/,Local tourism office or land manager
first-frontier-ky,First Frontier Appalachian Trails,Kentucky,Van Lear / Wolf Creek map,OHV,Official Google/KMZ trail map,Public map,Official public map,https://www.google.com/maps/d/u/0/viewer?mid=1R45d2ui9YG2HhzpQzv6E_E9iP21ldmA,https://1stfrontier.shop/,Map publisher / regional authority
first-frontier-ky,First Frontier Appalachian Trails,Kentucky,Van Lear / Wolf Creek KMZ download,OHV,Offline KMZ trail map,Download ready,Downloadable map file,https://1stfrontier.org/maps/Van_Lear_Wolf_Creek_11_15_25.kmz,https://1stfrontier.shop/,Map publisher / regional authority
first-frontier-ky,First Frontier Appalachian Trails,Kentucky,Fish Pond Trails map,OHV,Official Google/KMZ trail map,Public map,Official public map,https://www.google.com/maps/d/u/0/viewer?mid=16lI1PNFv7rkXn9gle1Lgg7twnfD5LwM,https://1stfrontier.shop/,Map publisher / regional authority
first-frontier-ky,First Frontier Appalachian Trails,Kentucky,Fish Pond Trails KMZ download,OHV,Offline KMZ trail map,Download ready,Downloadable map file,https://1stfrontier.org/maps/Fish_Pond_Trails.kmz,https://1stfrontier.shop/,Map publisher / regional authority
first-frontier-ky,First Frontier Appalachian Trails,Kentucky,Knott County trail mapping data,OHV,Official ArcGIS trail map,Public map,Official public map,https://www.arcgis.com/apps/mapviewer/index.html?webmap=bcba408f071d432b95b42bdf4145dee0,https://1stfrontier.shop/,Map publisher / regional authority
first-frontier-ky,First Frontier Appalachian Trails,Kentucky,German Bridge off-road trails,OHV,First Frontier regional trail area,Public map,Official public map,https://1stfrontier.org/maps.html,https://1stfrontier.shop/,Map publisher / regional authority
redbird-crest-ky,Redbird Crest,Kentucky,Redbird Crest Trail,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/activity/dbnf/recreation/ohv,https://www.fs.usda.gov/activity/dbnf/recreation/ohv,Public land manager / agency GIS contact
white-sulphur-ohv-ky,White Sulphur OHV,Kentucky,White Sulphur OHV Trail,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/activity/dbnf/recreation/ohv,https://www.fs.usda.gov/activity/dbnf/recreation/ohv,Public land manager / agency GIS contact
turkey-bay-ky,Turkey Bay OHV,Kentucky,Turkey Bay OHV Area,OHV,OHV area,Official link,Map source,https://landbetweenthelakes.us/seendo/outdoor-rec/ohv/,https://landbetweenthelakes.us/seendo/outdoor-rec/ohv/,Local tourism office or land manager
hollerwood-ky,Hollerwood Offroad Park,Kentucky,Hollerwood trail system,OHV,Private OHV park,Official link,Map source,https://www.hollerwoodpark.com/,https://www.hollerwoodpark.com/,Local tourism office or land manager
dirty-turtle-ky,Dirty Turtle Offroad Park,Kentucky,Dirty Turtle trail system,OHV,Private OHV park,Official link,Map source,https://www.dirtyturtleoffroad.com/,https://www.dirtyturtleoffroad.com/,Local tourism office or land manager
bearwallow-wv,Bearwallow,West Virginia,Bearwallow Trail System,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
cabwaylingo-wv,Cabwaylingo,West Virginia,Cabwaylingo Trail System,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
indian-ridge-wv,Indian Ridge,West Virginia,Indian Ridge Trail System,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
ivy-branch-wv,Ivy Branch,West Virginia,Ivy Branch Trail System,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
pinnacle-creek-wv,Pinnacle Creek,West Virginia,Pinnacle Creek Trail System,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
pocahontas-wv,Pocahontas,West Virginia,Pocahontas Trail System,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
warrior-wv,Warrior,West Virginia,Warrior Trail System,OHV,Trail system,Public map,Official public map,https://trailsheaven.com/,https://trailsheaven.com/trail-permit/,Map publisher / regional authority
monday-creek-oh,Monday Creek,Ohio,Monday Creek OHV Trail System,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/r09/wayne/recreation/ohv,https://www.fs.usda.gov/r09/wayne/recreation/ohv,Public land manager / agency GIS contact
hanging-rock-oh,Hanging Rock,Ohio,Hanging Rock OHV Trail System,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/r09/wayne/recreation/ohv,https://www.fs.usda.gov/r09/wayne/recreation/ohv,Public land manager / agency GIS contact
pine-creek-oh,Pine Creek,Ohio,Pine Creek OHV Trail System,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/r09/wayne/recreation/ohv,https://www.fs.usda.gov/r09/wayne/recreation/ohv,Public land manager / agency GIS contact
superior-oh,Superior,Ohio,Superior OHV Trail System,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/r09/wayne/recreation/ohv,https://www.fs.usda.gov/r09/wayne/recreation/ohv,Public land manager / agency GIS contact
perry-state-forest-oh,Perry State Forest APV,Ohio,Perry State Forest APV Area,OHV,APV area,Public map,Public agency map,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/perry-state-forest,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/perry-state-forest,Public land manager / agency GIS contact
pike-state-forest-oh,Pike State Forest APV,Ohio,Pike State Forest APV Area,OHV,APV area,Public map,Public agency map,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/pike-state-forest,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/pike-state-forest,Public land manager / agency GIS contact
windrock-tn,Windrock Park,Tennessee,Windrock Park trail system,OHV,Private trail system,Official link,Map source,https://windrockpark.com/,https://windrockpark.com/,Local tourism office or land manager
doe-mountain-tn,Doe Mountain,Tennessee,Doe Mountain trail system,OHV,Multi-use OHV area,Public map,Public agency map,https://dmra.gov/,https://dmra.gov/,Public land manager / agency GIS contact
prentice-cooper-tn,Prentice Cooper,Tennessee,Prentice Cooper OHV-designated routes,OHV,Designated OHV area,Public map,Public agency map,https://www.tn.gov/agriculture/forests/state-forests/prentice-cooper.html,https://www.tn.gov/agriculture/forests/state-forests/prentice-cooper.html,Public land manager / agency GIS contact
woolys-tn,Wooly's Off Road,Tennessee,Wooly's trail system,OHV,Private OHV park,Official link,Map source,https://woolysoffroad.com/,https://woolysoffroad.com/,Local tourism office or land manager
spearhead-mountain-view-va,Spearhead Mountain View,Virginia,Mountain View Trail System,OHV,Trail system,Official link,Map source,https://spearheadtrails.com/,https://spearheadtrails.com/,Local tourism office or land manager
spearhead-coal-canyon-va,Spearhead Coal Canyon,Virginia,Coal Canyon Trail System,OHV,Trail system,Official link,Map source,https://spearheadtrails.com/,https://spearheadtrails.com/,Local tourism office or land manager
spearhead-stone-mountain-va,Spearhead Stone Mountain,Virginia,Stone Mountain Trail System,OHV,Trail system,Official link,Map source,https://spearheadtrails.com/,https://spearheadtrails.com/,Local tourism office or land manager
spearhead-ridgeview-va,Spearhead Ridgeview,Virginia,Ridgeview Trail System,OHV,Trail system,Official link,Map source,https://spearheadtrails.com/,https://spearheadtrails.com/,Local tourism office or land manager
peters-mill-taskers-gap-va,Peters Mill Run / Taskers Gap,Virginia,Peters Mill Run Trail,OHV,OHV trail,Public map,Public agency map,https://www.fs.usda.gov/r08/gwj/recreation/peters-mill-runtaskers-gap-trail-system,https://www.fs.usda.gov/r08/gwj/recreation/peters-mill-runtaskers-gap-trail-system,Public land manager / agency GIS contact
peters-mill-taskers-gap-va,Peters Mill Run / Taskers Gap,Virginia,Taskers Gap Trails,OHV,OHV trail loops,Public map,Public agency map,https://www.fs.usda.gov/r08/gwj/recreation/peters-mill-runtaskers-gap-trail-system,https://www.fs.usda.gov/r08/gwj/recreation/peters-mill-runtaskers-gap-trail-system,Public land manager / agency GIS contact
south-pedlar-va,South Pedlar,Virginia,South Pedlar ATV Trail System,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/r08/gwj/recreation/ohv-riding-camping,https://www.fs.usda.gov/r08/gwj/recreation/ohv-riding-camping,Public land manager / agency GIS contact
badin-lake-ohv-nc,Badin Lake OHV,North Carolina,Badin Lake OHV Trail Complex,OHV,OHV trail complex,Public map,Public agency map,https://www.fs.usda.gov/r08/northcarolina/recreation/trails/badin-lake-ohv-trail-complex,https://www.fs.usda.gov/r08/northcarolina/recreation/trails/badin-lake-ohv-trail-complex,Public land manager / agency GIS contact
brown-mountain-ohv-nc,Brown Mountain OHV,North Carolina,Brown Mountain OHV Trail System,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/r08/northcarolina/recreation/ohv-riding-camping,https://www.fs.usda.gov/r08/northcarolina/recreation/ohv-riding-camping,Public land manager / agency GIS contact
wayehutta-ohv-nc,Wayehutta OHV,North Carolina,Wayehutta OHV Trail System,OHV,OHV trail system,Public map,Public agency map,https://www.fs.usda.gov/r08/northcarolina/recreation/ohv-riding-camping,https://www.fs.usda.gov/r08/northcarolina/recreation/ohv-riding-camping,Public land manager / agency GIS contact
busco-beach-nc,Busco Beach,North Carolina,Busco Beach ATV Park,OHV,Private OHV park,Official link,Private park map,https://www.buscobeach.com/,https://www.buscobeach.com/,Private park or trail system operator
brushy-mountain-nc,Brushy Mountain Motorsports Park,North Carolina,Brushy Mountain trail system,OHV,Private trail park,Official link,Private park map,https://brushymountainpowersports.com/,https://brushymountainpowersports.com/,Private park or trail system operator
martin-hill-pa,Martin Hill,Pennsylvania,Martin Hill ATV Trail,OHV,State forest ATV trail,Public map,Public agency map,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,Public land manager / agency GIS contact
sideling-hill-pa,Sideling Hill,Pennsylvania,Sideling Hill ATV Trail,OHV,State forest ATV trail,Public map,Public agency map,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,Public land manager / agency GIS contact
bloody-skillet-pa,Bloody Skillet,Pennsylvania,Bloody Skillet ATV Trail,OHV,State forest ATV trail,Public map,Public agency map,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,Public land manager / agency GIS contact
whiskey-springs-pa,Whiskey Springs,Pennsylvania,Whiskey Springs ATV Trail,OHV,State forest ATV trail,Public map,Public agency map,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,Public land manager / agency GIS contact
denton-hill-pa,Denton Hill,Pennsylvania,Denton Hill ATV Trail,OHV,State forest ATV trail,Public map,Public agency map,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/atv-riding/atv-trails-in-state-forests,Public land manager / agency GIS contact
michaux-atv-pa,Michaux ATV Trails,Pennsylvania,Michaux ATV Trail System,OHV,State forest ATV trail,Public map,Public agency map,https://www.pa.gov/agencies/dcnr/recreation/where-to-go/state-forests/find-a-forest/michaux/atv-riding,https://www.pa.gov/agencies/dcnr/recreation/where-to-go/state-forests/find-a-forest/michaux/atv-riding,Public land manager / agency GIS contact
